Observation period,Clear sky GHI
2023-03-21T07:20:00.0/2023-03-21T07:21:00.0,507.42600000000004
2023-03-21T07:21:00.0/2023-03-21T07:22:00.0,510.408
2023-03-21T07:22:00.0/2023-03-21T07:23:00.0,513.378
2023-03-21T07:23:00.0/2023-03-21T07:24:00.0,516.342
2023-03-21T07:24:00.0/2023-03-21T07:25:00.0,519.288
2023-03-21T07:25:00.0/2023-03-21T07:26:00.0,522.228
2023-03-21T07:26:00.0/2023-03-21T07:27:00.0,525.156
2023-03-21T07:27:00.0/2023-03-21T07:28:00.0,528.072
2023-03-21T07:28:00.0/2023-03-21T07:29:00.0,530.982
2023-03-21T07:29:00.0/2023-03-21T07:30:00.0,533.874
2023-03-21T07:30:00.0/2023-03-21T07:31:00.0,536.754
2023-03-21T07:31:00.0/2023-03-21T07:32:00.0,539.628
2023-03-21T07:32:00.0/2023-03-21T07:33:00.0,542.49
2023-03-21T07:33:00.0/2023-03-21T07:34:00.0,545.3340000000001
2023-03-21T07:34:00.0/2023-03-21T07:35:00.0,548.172
2023-03-21T07:35:00.0/2023-03-21T07:36:00.0,550.9979999999999
2023-03-21T07:36:00.0/2023-03-21T07:37:00.0,553.806
2023-03-21T07:37:00.0/2023-03-21T07:38:00.0,556.608
2023-03-21T07:38:00.0/2023-03-21T07:39:00.0,559.398
2023-03-21T07:39:00.0/2023-03-21T07:40:00.0,562.176
2023-03-21T07:40:00.0/2023-03-21T07:41:00.0,564.9359999999999
2023-03-21T07:41:00.0/2023-03-21T07:42:00.0,567.6899999999999
2023-03-21T07:42:00.0/2023-03-21T07:43:00.0,570.4259999999999
2023-03-21T07:43:00.0/2023-03-21T07:44:00.0,573.156
2023-03-21T07:44:00.0/2023-03-21T07:45:00.0,575.8679999999999
2023-03-21T07:45:00.0/2023-03-21T07:46:00.0,578.568
2023-03-21T07:46:00.0/2023-03-21T07:47:00.0,581.256
2023-03-21T07:47:00.0/2023-03-21T07:48:00.0,583.932
2023-03-21T07:48:00.0/2023-03-21T07:49:00.0,586.596
2023-03-21T07:49:00.0/2023-03-21T07:50:00.0,589.248
2023-03-21T07:50:00.0/2023-03-21T07:51:00.0,591.882
2023-03-21T07:51:00.0/2023-03-21T07:52:00.0,594.504
2023-03-21T07:52:00.0/2023-03-21T07:53:00.0,597.12
2023-03-21T07:53:00.0/2023-03-21T07:54:00.0,599.712
2023-03-21T07:54:00.0/2023-03-21T07:55:00.0,602.298
2023-03-21T07:55:00.0/2023-03-21T07:56:00.0,604.8720000000001
